# ----------------------------------------
# Páginas e telas: Caminho da página e classe da tela
# Conta: GRUPO GUANABARA | Sites
# Propriedade: Blog Guanabara
# ----------------------------------------
# 
# Origem / mídia da sessão corresponde exatamente a google / organic, bing / organic, chatgpt.com / (not set), chatgpt.com / referral, duckduckgo / organic, ecosia.org / organic, copilot.com / referral, yahoo / organic
# Data de início: 20250101
# Data de término: 20260524
Título da página e classe da tela,Página de destino + string de consulta,Visualizações,Sessões,Novos usuários,Usuários recorrentes,Taxa de novos usuários,Taxa de engajamento,Taxa de rejeição,Tempo médio de engajamento por usuário ativo
Início - Blog Guanabara,/saiba-como-funciona-o-cancelamento-e-remarcacao-de-viagens-com-a-guanabara/,59,39,0,2,0,1,0,19.256410256410255
Avenida Paulista aos domingos: o espaço é para todos,/avenida-paulista-domingo/,49,44,42,1,1,0.5681818181818182,0.4318181818181818,7.357142857142857
"Terra dos Dinos Miguel Pereira: horários, como chegar de ônibus",/terra-dos-dinos-miguel-pereira/,39,36,35,1,1,0.8888888888888888,0.1111111111111111,29.02857142857143
Início - Blog Guanabara,/,35,22,12,3,0.9230769230769231,0.8181818181818182,0.18181818181818182,81.92307692307692
Arquivo de Destinos - Blog Guanabara,/gratuidade-viagens-de-onibus-guanabara/,32,26,0,1,0,1,0,14.925925925925926
"Conheça Palmas, a capital mais jovem do Brasil!",/conheca-palmas-tocantins/,24,22,21,1,1,0.4090909090909091,0.5909090909090909,52.23809523809524
Quais os melhores pontos turísticos do Nordeste - Blog Guanabara,/quais-os-melhores-pontos-turisticos-do-nordeste/,23,22,22,0,1,0.7272727272727273,0.2727272727272727,23.59090909090909
Dia do Busólogo: você conhece o hobby dos apaixonados por ônibus?,/dia-do-busologo/,22,18,17,1,1,0.3888888888888889,0.6111111111111112,18.88235294117647
Guanabara investe R$ 60 milhões em nova frota e lança serviço Leito-Cama no Ceará! - Blog Guanabara,/investimento-nova-frota-onibus-leito-cama-guanabara/,21,20,18,1,1,0.45,0.55,14.666666666666666
Novidades Guanabara: Parceria rede Accor e modalidade Cama! - Blog Guanabara,/novidades-guanabara-parceria-rede-accor-e-modalidade-cama/,19,17,16,1,1,0.47058823529411764,0.5294117647058824,26.6875
"Saiba como funciona o Viva Fidelidade, programa de benefícios da Guanabara - Blog Guanabara",/saiba-como-funciona-o-viva-fidelidade-programa-de-beneficios-da-guanabara/,17,14,13,1,0.9285714285714286,0.8571428571428571,0.14285714285714285,29.142857142857142
Campina Grande: pega o Guanabara e vem pro Maior São João do Mundo,/campina-grande-sao-joao/,16,16,16,0,1,0.625,0.375,12
O que fazer com as crianças em Brasília nas férias de julho?,/ferias-criancas-em-brasilia/,16,16,15,1,1,0.6875,0.3125,36.733333333333334
10 Vantagens de se viajar de ônibus! - Blog Guanabara,/10-vantagens-de-se-viajar-de-onibus/,15,14,13,0,1,0.42857142857142855,0.5714285714285714,10.23076923076923
Feriadões de 2026! Veja o calendário com todas as folgas! - Blog Guanabara,/feriadoes-de-2026-veja-o-calendario-com-todas-as-folgas/,15,14,8,2,0.8888888888888888,0.5714285714285714,0.42857142857142855,146.77777777777777
Início - Blog Guanabara,/guanabara-recebe-primeiros-os-onibus-de-15-metros/,15,4,0,0,0,1,0,17.75
Arquivo de Destinos - Blog Guanabara,/saiba-como-funciona-o-cancelamento-e-remarcacao-de-viagens-com-a-guanabara/,14,12,0,1,0,1,0,7.25
Arquivo de gratuidade - Blog Guanabara,/gratuidade-viagens-de-onibus-guanabara/,14,12,0,0,0,1,0,10.5
Você sabia? 2 de Julho é dia da Independência da Bahia! - Blog Guanabara,/voce-sabia-2-de-julho-e-dia-da-independencia-da-bahia/,14,14,13,1,1,0.2857142857142857,0.7142857142857143,11.846153846153847
Bora Já! Até 70% de desconto para rotas selecionadas,/desconto-guanabara-bora-ja/,13,12,10,1,1,0.5,0.5,49.5
Descubra o futuro do conforto em viagens com os novos serviços e horários da Guanabara - Blog Guanabara,/descubra-o-futuro-do-conforto-em-viagens-com-os-novos-servicos-e-horarios-da-guanabara/,13,13,13,0,1,0.7692307692307693,0.23076923076923078,35.84615384615385
5 Pontos Turísticos em Belo Horizonte que Você Precisa Conhecer - Blog Guanabara,/5-pontos-turisticos-em-belo-horizonte-que-voce-precisa-conhecer/,10,10,8,2,1,0.2,0.8,17.25
Comprar passagem de ônibus online: vantagens,/comprar-passagem-onibus-online/,10,9,9,0,1,0.6666666666666666,0.3333333333333333,13.11111111111111
Guanabara e Livelo: ganhe até 12 pontos por real gasto,/guanabara-e-livelo/,10,10,6,4,0.6666666666666666,0.3,0.7,4.555555555555555
Pega o Guanabara e vem curtir as férias com as crianças na região Sul,/ferias-criancas-na-regiao-sul/,9,8,8,0,1,0.625,0.375,25
As vantagens de comprar passagem de ônibus com antecedência,/passagem-de-onibus-antecipado/,8,8,8,0,1,0.375,0.625,11.375
Início - Blog Guanabara,/investimento-nova-frota-onibus-leito-cama-guanabara/,8,4,0,0,0,1,0,15.5
5 Passeios Incríveis para Casais no Rio de Janeiro,/5-passeios-incriveis-para-casais-no-rio-de-janeiro/,7,6,6,0,1,0.6666666666666666,0.3333333333333333,9.5
Início - Blog Guanabara,/guia-completo-para-viajar-de-onibus-com-criancas/,7,6,0,0,0,1,0,7.833333333333333
"Natal, Rio Grande do Norte: Um Paraíso de Beleza Natural e Cultura Rica - Blog Guanabara",/natal-rio-grande-do-norte-um-paraiso-de-beleza-natural-e-cultura-rica/,7,7,7,0,1,0.42857142857142855,0.5714285714285714,48.857142857142854
Qual é a viagem de férias ideal pra você?,/a-viagem-de-ferias-ideal-pra-voce/,7,7,6,0,1,0.42857142857142855,0.5714285714285714,10.333333333333334
10 Curiosidades da História de Natal (RN) - Blog Guanabara,/10-curiosidades-da-historia-de-natal-rn/,6,6,6,0,1,0.6666666666666666,0.3333333333333333,34.833333333333336
10 Dicas de Restaurantes na Barra da Tijuca: Onde Comer na Cidade Maravilhosa - Blog Guanabara,/10-dicas-de-restaurantes-na-barra-da-tijuca-onde-comer-na-cidade-maravilhosa/,6,6,5,0,1,0.6666666666666666,0.3333333333333333,30.8
Arquivo de Destinos - Blog Guanabara,/category/destinos/,5,4,1,2,0.3333333333333333,0.5,0.5,3.6666666666666665
Arquivo de Dicas de Viagem - Blog Guanabara,/category/dicas-de-viagem/,5,5,0,1,0,0.8,0.2,0
Quem tem direito à gratuidade para viajar de Guanabara?,/comprar-passagem-de-onibus-guanabara/,5,5,0,0,0,1,0,13.6
5 Gírias que Você Só Encontra no Rio de Janeiro - Blog Guanabara,/5-girias-que-voce-so-encontra-no-rio-de-janeiro/,4,4,4,0,1,0.75,0.25,15
A família cresceu - Blog Guanabara,/a-familia-cresceu/,4,3,3,0,1,1,0,7.333333333333333
Arquivo de Destinos - Blog Guanabara,/,4,3,0,0,0,1,0,14
Arquivo de passagem de ônibus - Blog Guanabara,/gratuidade-viagens-de-onibus-guanabara/,4,2,0,0,0,1,0,88.5
As comidas brasileiras que são Patrimônios Culturais,/comidas-brasileiras-patrimonios-culturais/,4,4,4,0,1,1,0,35.5
Avenida Paulista aos domingos: o espaço é para todos,/category/dicas-de-viagem/,4,4,0,1,0,1,0,0
Caribe Brasileiro de Ônibus: Guia de Destinos e Passagens | Blog Viaje Guanabara,/viaje-pelo-caribe-brasileiro-de-onibus-com-a-guanabara-guia-completo/,4,4,2,2,0.5,0.25,0.75,8.75
Mês do Consumidor na Guanabara: até 70% OFF de desconto! - Blog Guanabara,/mes-do-consumidor-na-guanabara-ate-70-off-de-desconto/,4,3,2,1,0.6666666666666666,0.6666666666666666,0.3333333333333333,8.666666666666666
O que fazer em Natal RN: guia completo para sua viagem - Blog Guanabara,/o-que-fazer-em-natal-rn-guia-completo-para-sua-viagem/,4,3,3,0,1,1,0,26.666666666666668
Quem tem direito à gratuidade para viajar de Guanabara?,/guia-completo-para-viajar-de-onibus-com-criancas/,4,4,0,2,0,1,0,30
Arquivo de Destinos - Blog Guanabara,/comprar-passagem-onibus-online/,3,2,0,0,0,1,0,4.5
Arquivo de Destinos - Blog Guanabara,/guia-completo-para-viajar-de-onibus-com-criancas/,3,2,0,0,0,1,0,14.5
Arquivo de Destinos - Blog Guanabara,/investimento-nova-frota-onibus-leito-cama-guanabara/,3,3,0,0,0,1,0,10.666666666666666
Arquivo de Dicas de Viagem - Blog Guanabara,/comprar-passagem-de-onibus-guanabara/,3,3,0,0,0,1,0,1.3333333333333333
Arquivo de Dicas de Viagem - Blog Guanabara,/guanabara-recebe-primeiros-os-onibus-de-15-metros/,3,2,0,0,0,1,0,6
Arquivo de Novidades - Blog Guanabara,/comprar-passagem-de-onibus-guanabara/,3,2,0,0,0,1,0,1.5
Arquivo de Novidades - Blog Guanabara,/gratuidade-viagens-de-onibus-guanabara/,3,2,0,0,0,1,0,26.5
Arquivo de Viagens - Blog Guanabara,/investimento-nova-frota-onibus-leito-cama-guanabara/,3,1,0,1,0,1,0,11
Arquivo de viagem de ônibus - Blog Guanabara,/comprar-passagem-de-onibus-guanabara/,3,2,0,0,0,1,0,21
As férias de julho vêm aí! O que fazer com as crianças no Rio de Janeiro?,/ferias-criancas-no-rio-de-janeiro/,3,2,2,0,1,1,0,57
Caribe Brasileiro de Ônibus: Guia de Destinos e Passagens | Blog Viaje Guanabara,/,3,2,0,1,0,1,0,13
Guanabara: A empresa PÉ-QUENTE do Futebol! - Blog Guanabara,/guanabara-a-empresa-pe-quente-do-futebol/,3,2,2,0,1,0.5,0.5,19
Início - Blog Guanabara,/comprar-passagem-onibus-online/,3,3,0,0,0,1,0,4.666666666666667
Joias da Casa: Celebrando a dedicação e a trajetória dos colaboradores da Guanabara -,/joias-da-casa-guanabara/,3,3,3,0,1,1,0,31.333333333333332
Maio Amarelo Guanabara - Blog Guanabara,/maio-amarelo-guanabara/,3,3,3,0,1,0.6666666666666666,0.3333333333333333,9.666666666666666
Maio Amarelo: O que é? E como isso é importante pra você! - Blog Guanabara,/maio-amarelo-o-que-e-e-como-isso-e-importante-pra-voce/,3,3,3,0,1,0.6666666666666666,0.3333333333333333,247.66666666666666
Melhores praias de Fortaleza: um destino exuberante - Blog Guanabara,/melhores-praias-de-fortaleza-um-destino-exuberante/,3,3,3,0,1,0.3333333333333333,0.6666666666666666,27
Quais documentos devo levar para embarcar? - Blog Guanabara,/gratuidade-viagens-de-onibus-guanabara/,3,2,0,0,0,1,0,38.5
Quais documentos devo levar para embarcar? - Blog Guanabara,/guia-completo-para-viajar-de-onibus-com-criancas/,3,3,0,1,0,1,0,0
"Viaje Mais, Pague Menos: Passagens Guanabara de BH, Rio e Juiz de Fora a partir de R$39,99! Blog Guanabara Viaje Mais, Pague Menos: Passagens Guanabara de BH, Rio e Juiz de Fora a partir de R$39,99! - Blog Guanabara",/ofertas-passagens-guanabara-passagens-baratas/,3,3,3,0,1,0.3333333333333333,0.6666666666666666,16
10 Praias que você precisa conhecer no Nordeste! - Blog Guanabara,/comprar-passagem-de-onibus-guanabara/,2,2,0,0,0,1,0,4.5
Arquivo de Curiosidades - Blog Guanabara,/10-curiosidades-incriveis-sobre-fortaleza/,2,2,0,0,0,1,0,32
Arquivo de Curiosidades - Blog Guanabara,/10-curiosidades-sobre-salvador-na-bahia/,2,2,0,0,0,1,0,8.5
Arquivo de Curiosidades - Blog Guanabara,/comprar-passagem-de-onibus-guanabara/,2,2,0,0,0,1,0,6
Arquivo de Curiosidades - Blog Guanabara,/guanabara-anuncia-novos-pontos-de-embarque-no-rio-de-janeiro/,2,2,0,0,0,1,0,7.5
Arquivo de Curiosidades - Blog Guanabara,/guanabara-recebe-primeiros-os-onibus-de-15-metros/,2,2,0,0,0,1,0,7.5
Arquivo de Curiosidades - Blog Guanabara,/saiba-como-funciona-o-cancelamento-e-remarcacao-de-viagens-com-a-guanabara/,2,2,0,0,0,1,0,1
Arquivo de Destinos - Blog Guanabara,/10-vantagens-de-se-viajar-de-onibus/,2,1,0,0,0,1,0,3
Arquivo de Destinos - Blog Guanabara,/17-destinos-baratos-para-voce-conhecer-no-nordeste-brasileiro/,2,2,0,0,0,1,0,6.5
Arquivo de Destinos - Blog Guanabara,/terra-dos-dinos-miguel-pereira/,2,2,0,0,0,1,0,8.5
Arquivo de Dicas de Viagem - Blog Guanabara,/guanabara-anuncia-novos-pontos-de-embarque-no-rio-de-janeiro/,2,2,0,0,0,1,0,3.5
Arquivo de Gastronomia - Blog Guanabara,/comprar-passagem-de-onibus-guanabara/,2,2,0,0,0,1,0,4
Arquivo de Novidades - Blog Guanabara,/guanabara-recebe-primeiros-os-onibus-de-15-metros/,2,1,0,0,0,1,0,19
Arquivo de Novidades - Blog Guanabara,/investimento-nova-frota-onibus-leito-cama-guanabara/,2,2,0,0,0,1,0,13.5
Arquivo de viagem guanabara - Blog Guanabara,/tag/viagem-guanabara/,2,2,2,0,1,0.5,0.5,4.5
As Maravilhas de Fortaleza na Alta Temporada - Blog Guanabara,/as-maravilhas-de-fortaleza-na-alta-temporada/,2,1,1,0,1,1,0,64
Atenção: O movimento nas rodoviárias deve aumentar! - Blog Guanabara,/comprar-passagem-de-onibus-guanabara/,2,2,0,0,0,1,0,15.5
Comprar passagem de ônibus online: vantagens,/comprar-passagem-de-onibus-guanabara/,2,2,0,0,0,1,0,2.5
Corpus Christi é feriado ou ponto facultativo? Aproveite para viajar!,/corpus-christi-e-feriado/,2,2,2,0,1,0,1,0
Fortaleza: o que fazer e como chegar com a Viaje Guanabara,/fortaleza-o-que-fazer-e-como-chegar/,2,2,1,1,0.5,0.5,0.5,0.5
Férias chegando! O que fazer com crianças no Nordeste do Brasil?,/criancas-no-nordeste-ferias/,2,2,2,0,1,0.5,0.5,8
Guia completo para viajar de ônibus com crianças - Blog Guanabara,/gratuidade-viagens-de-onibus-guanabara/,2,2,0,0,0,1,0,0
Início - Blog Guanabara,/casas-de-show-brasil/,2,1,0,0,0,1,0,20
Início - Blog Guanabara,/descubra-o-futuro-do-conforto-em-viagens-com-os-novos-servicos-e-horarios-da-guanabara/,2,2,0,0,0,1,0,5.5
Início - Blog Guanabara,/guanabara-anuncia-novos-pontos-de-embarque-no-rio-de-janeiro/,2,1,0,0,0,1,0,23
Início - Blog Guanabara,/passagem-de-onibus-antecipado/,2,2,0,0,0,1,0,10
Início - Blog Guanabara,/quais-documentos-devo-levar-para-embarcar/,2,2,0,1,0,1,0,2.5
"Juazeiro do Norte: fé, cultura e tradição no coração do Cariri - Blog Guanabara",/comprar-passagem-de-onibus-guanabara/,2,2,0,0,0,1,0,1.5
"Juazeiro do Norte: fé, cultura e tradição no coração do Cariri - Blog Guanabara",/juazeiro-do-norte-fe-cultura-e-tradicao-no-coracao-do-cariri/,2,2,2,0,1,1,0,60
Já é Natal em Minas Gerais?,/natal-em-minas-gerais/,2,2,2,0,1,0,1,3
Melhores praias de Fortaleza: um destino exuberante - Blog Guanabara,/10-curiosidades-incriveis-sobre-fortaleza/,2,1,0,0,0,1,0,486
Mês do Consumidor na Guanabara: até 70% OFF de desconto! - Blog Guanabara,/desconto-guanabara-bora-ja/,2,1,0,0,0,1,0,13
O que fazer em Natal RN: guia completo para sua viagem - Blog Guanabara,/,2,2,0,0,0,1,0,10.5
O que fazer em Natal RN: guia completo para sua viagem - Blog Guanabara,/comprar-passagem-de-onibus-guanabara/,2,2,0,0,0,1,0,14
Quem tem direito à gratuidade para viajar de Guanabara?,/quais-documentos-devo-levar-para-embarcar/,2,2,0,0,0,1,0,24.5
Saiba como comprar passagem de ônibus barata - Blog Guanabara,/saiba-como-comprar-passagem-de-onibus-barata/,2,2,1,0,1,0.5,0.5,9
Saiba como comprar passagem de ônibus da Guanabara,/gratuidade-viagens-de-onibus-guanabara/,2,2,0,0,0,1,0,13.5
Você pesquisou por Passagem gratuito para idosos - Blog Guanabara,/gratuidade-viagens-de-onibus-guanabara/,2,1,0,0,0,1,0,15
Você pesquisou por Passagens - Blog Guanabara,/comprar-passagem-de-onibus-guanabara/,2,2,0,0,0,1,0,20
Você pesquisou por Remarcar - Blog Guanabara,/saiba-como-funciona-o-cancelamento-e-remarcacao-de-viagens-com-a-guanabara/,2,2,0,0,0,1,0,11.5
Você pesquisou por buscar pedido - Blog Guanabara,/saiba-como-funciona-o-cancelamento-e-remarcacao-de-viagens-com-a-guanabara/,2,1,0,0,0,1,0,193
Você pesquisou por id jovem - Blog Guanabara,/gratuidade-viagens-de-onibus-guanabara/,2,2,0,0,0,1,0,5.5
10 Curiosidades Incríveis sobre Fortaleza - Blog Guanabara,/10-fatos-curiosos-de-recife-pernambuco/,1,1,0,1,0,1,0,3
"10 Curiosidades sobre Salvador, na Bahia - Blog Guanabara",/10-curiosidades-incriveis-sobre-fortaleza/,1,1,0,0,0,1,0,0
10 Dicas de Restaurantes na Barra da Tijuca: Onde Comer na Cidade Maravilhosa - Blog Guanabara,/,1,2,0,1,0,1,0,0
10 Praias que você precisa conhecer no Nordeste! - Blog Guanabara,/lencois-maranhenses-patrimonio-da-humanidade/,1,1,0,0,0,1,0,58
10 Vantagens de se viajar de ônibus! - Blog Guanabara,/descubra-o-futuro-do-conforto-em-viagens-com-os-novos-servicos-e-horarios-da-guanabara/,1,1,0,0,0,1,0,17
"10 fatos curiosos de Recife, Pernambuco - Blog Guanabara",/10-curiosidades-incriveis-sobre-fortaleza/,1,1,0,0,0,1,0,21
5 Pontos Turísticos em Belo Horizonte que Você Precisa Conhecer - Blog Guanabara,/descubra-o-futuro-do-conforto-em-viagens-com-os-novos-servicos-e-horarios-da-guanabara/,1,1,0,0,0,1,0,0
5 Pontos Turísticos em Belo Horizonte que Você Precisa Conhecer - Blog Guanabara,/gratuidade-viagens-de-onibus-guanabara/,1,1,0,0,0,1,0,6
5 Pontos Turísticos em Salvador que Você Precisa Conhecer! - Blog Guanabara,/5-pontos-turisticos-em-salvador-que-voce-precisa-conhecer/,1,1,1,0,1,0,1,0
5 Pontos Turísticos em Salvador que Você Precisa Conhecer! - Blog Guanabara,/gratuidade-viagens-de-onibus-guanabara/,1,1,0,0,0,1,0,17
5 Pontos Turísticos em Salvador que Você Precisa Conhecer! - Blog Guanabara,/guia-completo-para-viajar-de-onibus-com-criancas/,1,1,0,0,0,1,0,6
5 Pontos Turísticos em Salvador que Você Precisa Conhecer! - Blog Guanabara,/saiba-como-funciona-o-cancelamento-e-remarcacao-de-viagens-com-a-guanabara/,1,1,0,0,0,1,0,0
7 Curiosidades sobre o Rio de Janeiro - Blog Guanabara,/7-curiosidades-sobre-o-rio-de-janeiro/,1,1,1,0,1,1,0,5
7 Passeios Imperdíveis em Belo Horizonte - Blog Guanabara,/7-passeios-imperdiveis-em-belo-horizonte/,1,1,1,0,1,0,1,0
A Guanabara marcou presença no Rock The Mountain 2025! - Blog Guanabara,/investimento-nova-frota-onibus-leito-cama-guanabara/,1,1,0,1,0,1,0,11
A família cresceu - Blog Guanabara,/guanabara-recebe-primeiros-os-onibus-de-15-metros/,1,1,0,0,0,1,0,0
Arquivo de Curiosidades - Blog Guanabara,/10-fatos-curiosos-de-recife-pernambuco/,1,1,0,0,0,1,0,181
Arquivo de Curiosidades - Blog Guanabara,/descubra-o-futuro-do-conforto-em-viagens-com-os-novos-servicos-e-horarios-da-guanabara/,1,1,0,0,0,1,0,8
Arquivo de Curiosidades - Blog Guanabara,/gratuidade-viagens-de-onibus-guanabara/,1,1,0,0,0,1,0,4
Arquivo de Curiosidades - Blog Guanabara,/guia-completo-para-viajar-de-onibus-com-criancas/,1,1,0,0,0,1,0,9
Arquivo de Curiosidades - Blog Guanabara,/investimento-nova-frota-onibus-leito-cama-guanabara/,1,1,0,0,0,1,0,12
Arquivo de Curiosidades - Página 2 de 2 - Blog Guanabara,/guanabara-anuncia-novos-pontos-de-embarque-no-rio-de-janeiro/,1,1,0,0,0,1,0,0
Arquivo de Destinos - Blog Guanabara,/bora-ja-pra-teresina/,1,1,0,0,0,1,0,4
Arquivo de Destinos - Blog Guanabara,/desconto-guanabara-bora-ja/,1,1,0,0,0,1,0,19
Arquivo de Destinos - Blog Guanabara,/guanabara-anuncia-novos-pontos-de-embarque-no-rio-de-janeiro/,1,1,0,0,0,1,0,28
Arquivo de Destinos - Blog Guanabara,/guanabara-recebe-primeiros-os-onibus-de-15-metros/,1,1,0,0,0,1,0,25
Arquivo de Destinos - Blog Guanabara,/mes-do-consumidor-na-guanabara-ate-70-off-de-desconto/,1,1,0,0,0,1,0,14
Arquivo de Destinos - Blog Guanabara,/novidades-guanabara-parceria-rede-accor-e-modalidade-cama/,1,1,0,0,0,1,0,8
Arquivo de Destinos - Blog Guanabara,/quais-documentos-devo-levar-para-embarcar/,1,1,0,0,0,1,0,0
Arquivo de Destinos - Blog Guanabara,/rio-de-janeiro-o-que-fazer-e-como-chegar/,1,1,0,0,0,1,0,13
Arquivo de Dicas de Viagem - Blog Guanabara,/avenida-paulista-domingo/,1,1,0,0,0,1,0,0
Arquivo de Dicas de Viagem - Blog Guanabara,/descubra-o-futuro-do-conforto-em-viagens-com-os-novos-servicos-e-horarios-da-guanabara/,1,1,0,0,0,1,0,3
Arquivo de Dicas de Viagem - Blog Guanabara,/gratuidade-viagens-de-onibus-guanabara/,1,1,0,0,0,1,0,2
Arquivo de Dicas de Viagem - Blog Guanabara,/guia-completo-para-viajar-de-onibus-com-criancas/,1,1,0,0,0,1,0,7
Arquivo de Dicas de Viagem - Blog Guanabara,/passagem-de-onibus-antecipado/,1,1,0,0,0,1,0,0
Arquivo de Dicas de Viagem - Blog Guanabara,/quais-documentos-devo-levar-para-embarcar/,1,1,0,0,0,1,0,10
Arquivo de Gastronomia - Blog Guanabara,/gratuidade-viagens-de-onibus-guanabara/,1,1,0,0,0,1,0,0
Arquivo de Gastronomia - Blog Guanabara,/restaurantes-romanticos-em-fortaleza/,1,1,0,0,0,1,0,6
Arquivo de Novidades - Blog Guanabara,/10-fatos-curiosos-de-recife-pernambuco/,1,1,0,0,0,1,0,0
Arquivo de Novidades - Blog Guanabara,/category/novidades/,1,1,1,0,1,0,1,6
Arquivo de Novidades - Blog Guanabara,/guanabara-anuncia-novos-pontos-de-embarque-no-rio-de-janeiro/,1,1,0,0,0,1,0,13
Arquivo de Novidades - Blog Guanabara,/guia-completo-para-viajar-de-onibus-com-criancas/,1,1,0,1,0,1,0,1
Arquivo de Novidades - Blog Guanabara,/passagem-de-onibus-antecipado/,1,1,0,0,0,1,0,452
Arquivo de Novidades - Blog Guanabara,/saiba-como-funciona-o-cancelamento-e-remarcacao-de-viagens-com-a-guanabara/,1,1,0,0,0,1,0,5
Arquivo de Viagens - Blog Guanabara,/category/viagens/,1,1,1,0,1,1,0,8
Arquivo de Viagens - Página 2 de 2 - Blog Guanabara,/investimento-nova-frota-onibus-leito-cama-guanabara/,1,1,0,1,0,1,0,3
Arquivo de Viaje Guanabara - Blog Guanabara,/gratuidade-viagens-de-onibus-guanabara/,1,1,0,0,0,1,0,3
Arquivo de Viaje Guanabara - Blog Guanabara,/ofertas-passagens-guanabara-passagens-baratas/,1,1,0,0,0,1,0,22
Arquivo de festa junina - Blog Guanabara,/tag/festa-junina/,1,1,1,0,1,1,0,3
Arquivo de gratuidade - Blog Guanabara,/tag/gratuidade/,1,1,1,0,1,1,0,12
As vantagens de comprar passagem de ônibus com antecedência,/comprar-passagem-de-onibus-guanabara/,1,1,0,0,0,1,0,56
As vantagens de comprar passagem de ônibus com antecedência,/gratuidade-viagens-de-onibus-guanabara/,1,1,0,0,0,1,0,0
Atenção: O movimento nas rodoviárias deve aumentar! - Blog Guanabara,/,1,1,0,0,0,1,0,41
Atenção: O movimento nas rodoviárias deve aumentar! - Blog Guanabara,/ofertas-passagens-guanabara-passagens-baratas/,1,1,0,0,0,1,0,50
Ação solidária da Guanabara reforça estoque do Hemorio - Blog Guanabara,/dia-do-busologo/,1,1,0,0,0,1,0,9
Black Friday Guanabara: descontos de até 70% - Blog Guanabara,/black-friday-guanabara-descontos-de-ate-70/,1,1,1,0,1,1,0,38
Black Friday da Guanabara: 30% off em todos os destinos,/gratuidade-viagens-de-onibus-guanabara/,1,1,0,0,0,1,0,16
Black Friday da Guanabara: 30% off em todos os destinos,/passagens-desconto-black-friday-guanabara/,1,1,1,0,1,0,1,0
